gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
ENSFCAG00000000620:FBXW7	0	27	7	1	7	413.974158863489	1226.90385376483	1226.90385376483	83.5755503875969	0	0	0	8.61350045849254e-05	0	0	0	0.0257830780390877	0	0
ENSFCAG00000018737:PIK3CA	0	24	0	0	0	258.914132508662	0	0	0	0	0.893564655873801	0	1	0	0.976058787264274	0	1	0	0
ENSFCAG00000009623:TP53	1	7	1	0	8	107.109795979494	219.819607866355	219.819607866355	138.027333422951	2.70139466351793e-12	0.00312469907046831	4.35651514862911e-13	4.8953404755603e-06	8.08617469279701e-10	0.328153510521062	1.30405020115631e-10	0.00439601574705315	1.11022302462516e-16	3.32326758704464e-14
ENSFCAG00000019200:PTEN	0	2	1	0	2	56.2153802104247	411.820513899186	411.820513899186	44.3293230485839	0.000549964398054881	0.00158237184589938	1.96237617976491e-05	0.00626906946344236	0.0987736058906566	0.328153510521062	0.00386537963639912	0.938270729695206	2.0804246129158e-06	0.000467055325599597
ENSFCAG00000011030:PIK3R1	0	2	0	0	4	29.4381769557017	0	0	49.3362162854763	0.00214190226461031	0.906801458320091	0.00891845591436924	0.00156103572556922	0.320571372270009	0.976058787264274	0.784230792789512	0.35045252039029	0.00016959868059796	0.0304599230353936
ENSFCAG00000002617:GTF2I	0	4	0	0	0	43.7966094415921	0	0	0	3.59196659127647e-06	0.895643829448875	2.15221583318437e-05	1	0.000806396499741568	0.976058787264274	0.00386537963639912	1	0.000252808473208854	0.0378370014902585
ENSFCAG00000037105:RPL22	0	0	0	0	3	0	0	0	208.244726879394	0.870917392043673	0.964364640934102	0.985901161322593	7.14398721067326e-05	0.878795560689339	0.976058787264274	0.991365829550083	0.0257830780390877	0.000743828934478774	0.0954226261659913
ENSFCAG00000006262:CREBBP	0	2	1	0	2	6.82941049943617	79.207915520198	79.207915520198	7.32476339943882	0.0432877394812639	0.0096149098202265	0.00502941354218822	0.0599379957372867	0.868700304041643	0.4724886380218	0.740358880802817	1	0.00274530098902548	0.30816003601811
ENSFCAG00000023517:NOTCH1	0	3	0	0	4	8.07060199779268	0	0	14.0794390814685	0.00890896020153509	0.857963267025837	0.0320875321277165	0.02043361154566	0.800024626097851	0.976058787264274	0.991365829550083	1	0.00546159192466056	0.536362136522423
ENSFCAG00000003470:CTNNB1	0	2	0	0	1	25.6794532128003	0	0	11.421585785477	0.00285195683481487	0.921798211942657	0.0116161128045948	0.0624916864995158	0.365865319666251	0.976058787264274	0.784230792789512	1	0.00597285229980427	0.536362136522423
